Datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day
2008-09-20 00:00:00,0.010733333333333334,0.108,242.8,2.6,0.0,0.0,0.0,2008-09-20
2008-09-20 00:01:00,0.010733333333333334,0.11,243.19,2.6,0.0,0.0,0.001,2008-09-20
2008-09-20 00:02:00,0.009766666666666667,0.0,243.28,2.4,0.0,0.0,0.001,2008-09-20
2008-09-20 00:03:00,0.009466666666666667,0.0,242.72,2.4,0.0,0.0,0.0,2008-09-20
2008-09-20 00:04:00,0.010366666666666666,0.078,242.77,2.6,0.0,0.0,0.001,2008-09-20
2008-09-20 00:05:00,0.0115,0.16,242.71,3.0,0.0,0.0,0.001,2008-09-20
2008-09-20 00:06:00,0.011733333333333335,0.222,242.75,3.0,0.0,0.001,0.0,2008-09-20
2008-09-20 00:07:00,0.011666666666666665,0.22,242.35,3.0,0.0,0.001,0.001,2008-09-20
2008-09-20 00:08:00,0.011633333333333332,0.218,242.07,3.0,0.0,0.002,0.001,2008-09-20
2008-09-20 00:09:00,0.0116,0.22,242.13,3.0,0.0,0.001,0.0,2008-09-20
2008-09-20 00:10:00,0.011566666666666668,0.22,242.13,3.0,0.0,0.002,0.001,2008-09-20
2008-09-20 00:11:00,0.011533333333333335,0.22,242.24,3.0,0.0,0.001,0.001,2008-09-20
2008-09-20 00:12:00,0.0115,0.22,242.13,3.0,0.0,0.002,0.0,2008-09-20
2008-09-20 00:13:00,0.0115,0.22,242.45,3.0,0.0,0.001,0.001,2008-09-20
2008-09-20 00:14:00,0.0115,0.22,242.37,3.0,0.0,0.001,0.001,2008-09-20
2008-09-20 00:15:00,0.014833333333333334,0.268,242.29,4.0,0.0,0.002,0.003,2008-09-20
2008-09-20 00:16:00,0.020433333333333335,0.25,241.64,5.2,0.0,0.001,0.011,2008-09-20
2008-09-20 00:17:00,0.020766666666666666,0.244,241.91,5.2,0.0,0.002,0.011,2008-09-20
2008-09-20 00:18:00,0.021233333333333333,0.248,242.52,5.2,0.0,0.001,0.012,2008-09-20
2008-09-20 00:19:00,0.0213,0.246,242.46,5.4,0.0,0.001,0.011,2008-09-20
2008-09-20 00:20:00,0.0182,0.208,242.55,4.6,0.0,0.002,0.01,2008-09-20
2008-09-20 00:21:00,0.0098,0.078,242.83,2.4,0.0,0.001,0.0,2008-09-20
2008-09-20 00:22:00,0.008866666666666667,0.0,242.32,2.2,0.0,0.0,0.001,2008-09-20
2008-09-20 00:23:00,0.008833333333333334,0.0,242.38,2.2,0.0,0.0,0.001,2008-09-20
2008-09-20 00:24:00,0.008866666666666667,0.0,242.71,2.2,0.0,0.0,0.0,2008-09-20
2008-09-20 00:25:00,0.008866666666666667,0.0,242.91,2.2,0.0,0.0,0.001,2008-09-20
2008-09-20 00:26:00,0.008866666666666667,0.0,242.83,2.2,0.0,0.0,0.001,2008-09-20
2008-09-20 00:27:00,0.008866666666666667,0.0,242.97,2.2,0.0,0.0,0.0,2008-09-20
2008-09-20 00:28:00,0.008933333333333333,0.0,243.06,2.2,0.0,0.0,0.001,2008-09-20
2008-09-20 00:29:00,0.009399999999999999,0.0,243.1,2.4,0.0,0.0,0.001,2008-09-20
2008-09-20 00:30:00,0.0107,0.128,243.14,2.6,0.0,0.0,0.0,2008-09-20
2008-09-20 00:31:00,0.010633333333333333,0.128,243.02,2.6,0.0,0.0,0.001,2008-09-20
2008-09-20 00:32:00,0.0106,0.126,242.34,2.6,0.0,0.0,0.001,2008-09-20
2008-09-20 00:33:00,0.010533333333333334,0.126,242.51,2.6,0.0,0.0,0.0,2008-09-20
2008-09-20 00:34:00,0.0105,0.126,242.33,2.6,0.0,0.0,0.001,2008-09-20
2008-09-20 00:35:00,0.0105,0.126,242.33,2.6,0.0,0.0,0.001,2008-09-20
2008-09-20 00:36:00,0.010466666666666668,0.126,242.21,2.6,0.0,0.0,0.0,2008-09-20
2008-09-20 00:37:00,0.010433333333333333,0.126,242.37,2.6,0.0,0.0,0.001,2008-09-20
2008-09-20 00:38:00,0.010433333333333333,0.126,242.33,2.6,0.0,0.0,0.001,2008-09-20
2008-09-20 00:39:00,0.0104,0.126,242.48,2.6,0.0,0.0,0.0,2008-09-20
2008-09-20 00:40:00,0.010366666666666666,0.126,242.28,2.6,0.0,0.0,0.001,2008-09-20
