Datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2008-01-31,1086.1563666666668,65.1373,240.64632944286387,6.181715540222675,61.761,62.911,312.175
2008-02-29,822.1845333333334,60.661466666666676,240.60296381445025,4.974260603012669,40.19200000000001,56.646,255.91799999999998
2008-03-31,926.5099,75.52443333333333,241.32537534442974,5.234830529357737,63.11,79.277,279.66999999999996
2008-04-30,803.4998666666668,89.36266666666667,241.22119120370368,4.697060185185185,47.08,70.871,295.67799999999994
2008-05-31,762.0310000000001,114.94313333333334,240.36791858954254,4.384094269456517,53.084,58.907000000000004,290.62
2008-06-30,715.7328666666667,109.17396666666667,238.97518785157064,4.30146531169703,68.728,63.449,290.10299999999995
2008-07-31,591.2903,109.19076666666668,239.77082620189074,3.4636811685111337,47.313,44.416,227.228
2008-08-31,205.69799999999998,95.08409999999999,240.43305166002057,1.263569156324208,3.873,22.264000000000003,79.66499999999999
2008-09-30,711.1298666666667,89.9859,240.12458078703702,4.212347222222222,52.376,44.59000000000001,284.28200000000004
2008-10-31,844.941,78.54836666666667,240.3293692400834,4.797699396820414,44.092999999999996,63.22800000000001,275.887
2008-11-30,998.4793333333334,72.96090000000001,240.58688777754622,5.864897779630016,58.06699999999999,55.88699999999999,280.61500000000007
2008-12-31,947.2318666666667,67.8493,243.08394130449415,5.304889048441742,45.107,39.45900000000001,307.34599999999995
2009-01-31,1049.1668000000002,73.27543333333332,243.7932157978449,5.867071394968525,74.65100000000001,72.952,329.606
2009-02-28,837.0348333333334,64.3049,242.39900859499207,5.200322933227345,47.098,50.68400000000001,296.166
2009-03-31,912.6497666666667,77.62323333333335,242.30363793180695,5.148976208611497,64.645,48.427,328.697
2009-04-30,821.2587333333332,88.57646666666668,241.63326334552522,4.81653780267605,54.50600000000001,52.601000000000006,307.84
2009-05-31,753.4971666666668,88.96226666666668,240.11879245452104,4.300210592346984,43.57,50.099,311.048
2009-06-30,559.0329999999999,90.49166666666667,241.04247274094502,3.607775410452438,31.362000000000002,29.801,259.969
2009-07-31,459.84073333333333,124.7995,242.0178593511964,2.7102876601846044,18.226,42.528000000000006,187.93599999999998
2009-08-31,484.6067333333333,137.39053333333334,241.26976182312737,2.9347367939838627,34.023,38.217000000000006,192.06400000000005
2009-09-30,710.4760666666666,110.80103333333334,241.14645739287454,4.212727735722388,51.602,46.144,296.54699999999997
2009-10-31,851.4786666666666,97.77330000000002,240.89413382916288,4.818723537713659,54.728,53.729,327.505
2009-11-30,917.7940333333333,91.2323,241.9465966804787,5.333942915345263,60.445,53.47300000000001,335.529
2009-12-31,1015.0834333333332,96.53146666666667,244.08241946323758,5.661768000358439,57.801,53.49,383.909
2010-01-31,989.6609666666666,86.6012,243.45551013033318,5.945679250283072,53.88699999999999,56.568000000000005,395.913
2010-02-28,924.5284333333334,68.83696666666667,242.34811101741158,5.715739868049011,49.268,53.59,411.71399999999994
2010-03-31,802.5983000000001,88.81600000000002,241.9932109919508,4.730129303264262,35.089,60.87200000000001,324.35200000000003
2010-04-30,739.6354,89.89053333333334,241.78279821292162,4.305192249820598,38.196,36.476000000000006,336.091
2010-05-31,814.8733333333333,90.90356666666666,240.3691713524049,4.630869867156523,48.107,52.376,364.625
2010-06-30,698.0903999999999,108.07863333333333,240.84186027130886,4.169225427103107,65.747,47.675000000000004,306.93399999999997
2010-07-31,536.4625333333335,123.11483333333334,240.54802997378974,3.130813862317704,17.667,34.35900000000001,192.91199999999998
2010-08-31,368.3895666666667,79.70126666666667,241.25038140802906,2.564136419522104,12.499,26.982999999999997,160.189
2010-09-30,605.1570666666667,79.56103333333333,241.20523351684534,4.067023154123752,36.865,32.508,257.861
2010-10-31,865.5492333333333,102.34026666666668,242.15931046842448,4.889011850623893,48.199,60.22000000000001,315.66900000000004
2010-11-30,743.3064666666667,68.8118,240.72188766336578,5.057708719104742,46.162000000000006,42.282000000000004,247.113
